№;Тип установи;Код за ЄДРПОУ;Повне найменування;Повна адреса;ПІБ керівника;Дата видачі
1210;Інша кредитна установа;25627303;"РЕГІОНАЛЬНЕ УПРАВЛІННЯ В АВТОНОМНІЙ РЕСПУБЛІЦІ КРИМ ДЕРЖАВНОЇ СПЕЦІАЛІЗОВАНОЇ ФІНАНСОВОЇ УСТАНОВИ ""ДЕРЖАВНИЙ ФОНД СПРИЯННЯ МОЛОДІЖНОМУ ЖИТЛОВОМУ БУДІВНИЦТВУ""";54029 МИКОЛАЇВСЬКА ОБЛАСТЬ, МИКОЛАЇВ, МІСТО МИКОЛАЇВ, Робоча, буд.2, корп.А, оф.(кв.)506А;Сабірова Анджела Володимирівна;18.01.2007
1211;Інша кредитна установа;25322934;"РІВНЕНСЬКЕ РЕГІОНАЛЬНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СПЕЦІАЛІЗОВАНОЇ ФІНАНСОВОЇ УСТАНОВИ ""ДЕРЖАВНИЙ ФОНД СПРИЯННЯ МОЛОДІЖНОМУ ЖИТЛОВОМУ БУДІВНИЦТВУ""";33028 РІВНЕНСЬКА ОБЛАСТЬ, РІВНЕ, МІСТО РІВНЕ, Симона Петлюри, буд.14а, корп.-, оф.(кв.)-;Шевчук Василь Васильович;16.01.2007
1212;Інша кредитна установа;24855717;"ЛУГАНСЬКЕ РЕГІОНАЛЬНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СПЕЦІАЛІЗОВАНОЇ ФІНАНСОВОЇ УСТАНОВИ ""ДЕРЖАВНИЙ ФОНД СПРИЯННЯ МОЛОДІЖНОМУ ЖИТЛОВОМУ БУДІВНИЦТВУ";93404 ЛУГАНСЬКА ОБЛАСТЬ, СЄВЕРОДОНЕЦЬК, МІСТО СЄВЕРОДОНЕЦЬК, ЄГОРОВА, буд.22, корп.-, оф.(кв.)-;Кірєєва Інеса Вадимівна;16.01.2007
1213;Інша кредитна установа;23824726;"СУМСЬКЕ РЕГІОНАЛЬНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СПЕЦІАЛІЗОВАНОЇ ФІНАНСОВОЇ УСТАНОВИ ""ДЕРЖАВНИЙ ФОНД СПРИЯННЯ МОЛОДІЖНОМУ ЖИТЛОВОМУ БУДІВНИЦТВУ""";40000 СУМСЬКА ОБЛАСТЬ, СУМИ, МІСТО СУМИ, Шишкарівська, буд.9, корп.-, оф.(кв.)-;Братушка Володимир  Васильович;16.01.2007
1214;Кредитна спілка;34579580;"Кредитна спілка ""Інвест-Капітал""";91016 ЛУГАНСЬКА ОБЛАСТЬ, ЛУГАНСЬК, МІСТО ЛУГАНСЬК, Радянська, буд.60;Чигвінцев Сергій Юрійович;28.12.2006
1215;Інша кредитна установа;25553935;"ЛЬВІВСЬКЕ РЕГІОНАЛЬНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СПЕЦІАЛІЗОВАНОЇ ФІНАНСОВОЇ УСТАНОВИ ""ДЕРЖАВНИЙ ФОНД СПРИЯННЯ МОЛОДІЖНОМУ ЖИТЛОВОМУ БУДІВНИЦТВУ""";79008 ЛЬВІВСЬКА ОБЛАСТЬ, ЛЬВІВ, МІСТО ЛЬВІВ, Винниченка, буд.8, корп.-, оф.(кв.)-;Наумова Світлана Іванівна;28.12.2006
1216;Інша кредитна установа;23625524;"МИКОЛАЇВСЬКЕ РЕГІОНАЛЬНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СПЕЦІАЛІЗОВАНОЇ ФІНАНСОВОЇ УСТАНОВИ ""ДЕРЖАВНИЙ ФОНД СПРИЯННЯ МОЛОДІЖНОМУ ЖИТЛОВОМУ БУДІВНИЦТВУ";54015 МИКОЛАЇВСЬКА ОБЛАСТЬ, МИКОЛАЇВ, МІСТО МИКОЛАЇВ, Робоча , буд.2-А, корп.  -, оф.(кв.)507;Федорончук  Василь Михайлович;28.12.2006
1217;Інша кредитна установа;22848239;"Чернівецьке регіональне управління державної спеціалізованої фінансової установи ""Державний фонд сприяння молодіжному житловому будівництву""";58000 ЧЕРНІВЕЦЬКА ОБЛАСТЬ, ЧЕРНІВЦІ, МІСТО ЧЕРНІВЦІ, Головна, буд.27, корп.-, оф.(кв.)-;Піонтковська Марина Іллівна;28.12.2006
1218;Фінансова компанія;34534288;"Товариство з обмеженою відповідальністю ""БУДІВЕЛЬНО-ФІНАНСОВА ЛІГА""";83000 ДОНЕЦЬКА ОБЛАСТЬ, ДОНЕЦЬК, МІСТО ДОНЕЦЬК, Маяковського, буд.23;Скородід Євген Геннадійович;22.12.2006
1219;Фінансова компанія;34571293;"Товариство з обмеженою відповідальністю ""Фінансова компанія ""Євробуд Інвест""";07853 КИЇВСЬКА ОБЛАСТЬ, БОРОДЯНСЬКИЙ РАЙОН НЕМІШАЄВЕ, Залізнична, буд.10;Очкас Оксана Миколаївна;14.12.2006
1220;Кредитна спілка;34419975;"Кредитна спілка ""КС Еталон""";29000 ХМЕЛЬНИЦЬКА ОБЛАСТЬ, ХМЕЛЬНИЦЬКИЙ, МІСТО ХМЕЛЬНИЦЬКИЙ, Подільська, буд.61, корп.-, оф.(кв.)7;Сідельникова Наталія Миколаївна;14.12.2006
1221;Страхова компанія;34578000;"Приватне акціонерне товариство ""Страхова компанія ""АВТОРИТЕТ""";04071 КИЇВ, КИЇВ 71, Щекавицька, буд.30/39, оф.(кв.)оф.24;Лесик Павло Вікторович;05.12.2006
1222;Недержавний пенсійний фонд;33598424;"Непідприємницьке товариство ""Відкритий недержавний пенсійний фонд ""АРТА""";01001 КИЇВ, КИЇВ 1, пров. Музейний, буд.4;Сіренко Олександр Валерійович;05.12.2006
1223;Ломбард;30696541;"Повне товариство ""Ломбард Фармація і Ко""";84301 ДОНЕЦЬКА ОБЛАСТЬ, КРАМАТОРСЬК, МІСТО КРАМАТОРСЬК, Двірцева, буд.13;Назаров Максим Юрiйович;05.12.2006
1224;Інша кредитна установа;30432898;"ЖИТОМИРСЬКЕ РЕГІОНАЛЬНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СПЕЦІАЛІЗОВАНОЇ ФІНАНСОВОЇ УСТАНОВИ ""ДЕРЖАВНИЙ ФОНД СПРИЯННЯ МОЛОДІЖНОМУ ЖИТЛОВОМУ БУДІВНИЦТВУ""";10014 ЖИТОМИРСЬКА ОБЛАСТЬ, ЖИТОМИР, МІСТО ЖИТОМИР, Леха Качинського, буд.12-А, корп.-, оф.(кв.)-;Шестопалов  Павло  Іванович;05.12.2006
1225;Інша кредитна установа;25681981;"ПОЛТАВСЬКЕ РЕГІОНАЛЬНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СПЕЦІАЛІЗОВАНОЇ ФІНАНСОВОЇ УСТАНОВИ ""ДЕРЖАВНИЙ ФОНД СПРИЯННЯ МОЛОДІЖНОМУ ЖИТЛОВОМУ БУДІВНИЦТВУ""";36020 ПОЛТАВСЬКА ОБЛАСТЬ, ПОЛТАВА, МІСТО ПОЛТАВА, Володимира Козака, буд.1-А, корп.-, оф.(кв.)-;Алєксєєва Олена Володимирівна;05.12.2006
1226;Інша кредитна установа;25673668;"ЧЕРКАСЬКЕ РЕГІОНАЛЬНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СПЕЦІАЛІЗОВАНОЇ ФІНАНСОВОЇ УСТАНОВИ ""ДЕРЖАВНИЙ ФОНД СПРИЯННЯ МОЛОДІЖНОМУ ЖИТЛОВОМУ БУДІВНИЦТВУ""";18036 ЧЕРКАСЬКА ОБЛАСТЬ, ЧЕРКАСИ, МІСТО ЧЕРКАСИ, Максима Залізняка, буд.10, корп.-, оф.(кв.)412;Паливода  Олександр Васильович;05.12.2006
1227;Інша кредитна установа;25645436;"ХЕРСОНСЬКЕ РЕГІОНАЛЬНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СПЕЦІАЛІЗОВАНОЇ ФІНАНСОВОЇ УСТАНОВИ ""ДЕРЖАВНИЙ ФОНД СПРИЯННЯ МОЛОДІЖНОМУ ЖИТЛОВОМУ БУДІВНИЦТВУ""";73000 ХЕРСОНСЬКА ОБЛАСТЬ, ХЕРСОН, МІСТО ХЕРСОН, проспект 200-річчя Херсона, буд.38, корп.6;Волкович  Юрій  Миколайович;05.12.2006
1228;Інша кредитна установа;25489232;"ЗАПОРІЗЬКЕ РЕГІОНАЛЬНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СПЕЦІАЛІЗОВАНОЇ ФІНАНСОВОЇ УСТАНОВИ ""ДЕРЖАВНИЙ ФОНД СПРИЯННЯ МОЛОДІЖНОМУ ЖИТЛОВОМУ БУДІВНИЦТВУ""";69005 ЗАПОРІЗЬКА ОБЛАСТЬ, ЗАПОРІЖЖЯ, МІСТО ЗАПОРІЖЖЯ, Патріотична, буд.49, корп.-, оф.(кв.)-;Щербина Юрій Миколайович;05.12.2006
1229;Інша кредитна установа;25441099;"Закарпатське регіональне управління Державної спеціалізованої фінансової установи ""Державний фонд сприяння молодіжному житловому будівництву""";"88000 ЗАКАРПАТСЬКА ОБЛАСТЬ, УЖГОРОД, МІСТО УЖГОРОД, Перемоги (Капушанська), буд.32, ""А"", корп.-, оф.(кв.)-";Дудчук Галина Петрівна;05.12.2006
1230;Інша кредитна установа;25352148;"ТЕРНОПІЛЬСЬКЕ РЕГІОНАЛЬНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СПЕЦІАЛІЗОВАНОЇ ФІНАНСОВОЇ УСТАНОВИ ""ДЕРЖАВНИЙ ФОНД СПРИЯННЯ МОЛОДІЖНОМУ ЖИТЛОВОМУ БУДІВНИЦТВУ""";46002 ТЕРНОПІЛЬСЬКА ОБЛАСТЬ, ТЕРНОПІЛЬ, МІСТО ТЕРНОПІЛЬ, Проспект Степана Бандери, буд.34;Козак Андрій Романович;05.12.2006
1231;Інша кредитна установа;23253399;"ВОЛИНСЬКЕ РЕГІОНАЛЬНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СПЕЦІАЛІЗОВАНОЇ ФІНАНСОВОЇ УСТАНОВИ ""ДЕРЖАВНИЙ ФОНД СПРИЯННЯ МОЛОДІЖНОМУ ЖИТЛОВОМУ БУДІВНИЦТВУ""";43025 ВОЛИНСЬКА ОБЛАСТЬ, ЛУЦЬК, МІСТО ЛУЦЬК, Шопена, буд.12, корп.-, оф.(кв.)-;Воробйова  Тетяна Геннадіївна;05.12.2006
1232;Інша кредитна установа;22817182;"ЧЕРНІГІВСЬКЕ РЕГІОНАЛЬНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СПЕЦІАЛІЗОВАНОЇ ФІНАНСОВОЇ УСТАНОВИ ""ДЕРЖАВНИЙ ФОНД СПРИЯННЯ МОЛОДІЖНОМУ ЖИТЛОВОМУ БУДІВНИЦТВУ""";14000 ЧЕРНІГІВСЬКА ОБЛАСТЬ, ЧЕРНІГІВ, МІСТО ЧЕРНІГІВ, проспект Миру, буд.49-А, корп.-, оф.(кв.)-;Ярошевський  Анатолій Іванович;05.12.2006
1233;Інша кредитна установа;20033504;"Державна спеціалізована фінансова установа ""Державний фонд сприяння молодіжному житловому будівництву""";03037 КИЇВ, КИЇВ 37, Максима Кривоноса, буд.2-А, корп.-, оф.(кв.)-;Комнатний Сергій Олександрович;05.12.2006
1234;Ломбард;34516274;"Повне товариство ""Ломбард ""Заставна позика"" Клішин А.В. Клішина М.В""";84629 ДОНЕЦЬКА ОБЛАСТЬ, ГОРЛІВКА, МІСТО ГОРЛІВКА, Казарцева, буд.13, оф.131;Клішин  Андрій Вікторович;23.11.2006
1235;Кредитна спілка;34457628;"Кредитна спілка ""Народна довіра""";73000 ХЕРСОНСЬКА ОБЛАСТЬ, ХЕРСОН, МІСТО ХЕРСОН, Вулиця Віктора Гошкевича, буд.45;Синюк  Олександр  Дмитрович;23.11.2006
1236;Фінансова компанія;34451799;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""СУМБУД-ІНВЕСТ""";40030 СУМСЬКА ОБЛАСТЬ, СУМИ, МІСТО СУМИ, Петропавлівська, буд.86;Бритов Олександр Борисович;23.11.2006
1237;Фінансова компанія;34382488;"Товариство з обмеженою відповідальністю ""Фінансова компанія ""ЖИТЛОІНВЕСТБУД""";29000 ХМЕЛЬНИЦЬКА ОБЛАСТЬ, ХМЕЛЬНИЦЬКИЙ, МІСТО ХМЕЛЬНИЦЬКИЙ, Європейська, буд.5, оф.(кв.)51;Низенко Вячеслав Олександрович;23.11.2006
1238;Страхова компанія;34692526;"Приватне акціонерне товариство ""Європейське туристичне страхування""";04071 КИЇВ, КИЇВ 71, Спаська, буд.5, оф.(кв.)15;Бойчин Мирослав Михайлович;16.11.2006
1239;Страхова компанія;34615026;"Приватне Акціонерне Товариство ""Страхова компанія ""Форте""";01001 КИЇВ, КИЇВ 1, Михайлівська, буд.24/11-13В;ДУМА ВІКТОР ОЛЕКСАНДРОВИЧ;16.11.2006
1240;Страхова компанія;34538696;"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""СТРАХОВА КОМПАНІЯ ""КАРДІФ""";04070 КИЇВ, КИЇВ 70, Іллінська, буд.8;Романенко  Олег Олексійович;14.11.2006
1241;Страхова компанія;33947733;"Приватне акціонерне товариство ""Страхова Компанія ""ГАММА""";03055 КИЇВ, КИЇВ 55, Ванди Василевської, буд.7;Мозгова  Марина Анатоліївна;07.11.2006
1242;Фінансова компанія;32682420;"ПУБЛІЧНЕ  АКЦІОНЕРНЕ ТОВАРИСТВО  ""ФІНАНСОВА КОМПАНІЯ ""СТС-ІНВЕСТ""";68004 ОДЕСЬКА ОБЛАСТЬ, ІЛЛІЧІВСЬК, МІСТО ІЛЛІЧІВСЬК, ГЕРОЇВ СТАЛІНГРАДУ, буд.15-А;САНЬКОВ СЕРГІЙ ВІКТОРОВИЧ;02.11.2006
1243;Фінансова компанія;34513446;"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ФІНАНСОВА КОМПАНІЯ ""СУЧАСНІ КРЕДИТНІ ТЕХНОЛОГІЇ""";49000 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРОПЕТРОВСЬК, Леніна , буд.30;Гуржий Наталія Анатоліївна;31.10.2006
1244;Кредитна спілка;34301196;"Кредитна спілка ""Авангард""";99011 СЕВАСТОПОЛЬ, МІСТО, СЕВАСТОПОЛЬ, Велика Морська, буд.22;Шевцова   Ірина Борисівна;26.10.2006
1245;Недержавний пенсійний фонд;33403482;"Відкритий недержавний пенсійний фонд ""Кремінь""";01021 КИЇВ, КИЇВ 21, Інститутська, буд.19-б, оф.33; Гарагуля  Сергій  Іванович;26.10.2006
1246;Недержавний пенсійний фонд;34355367;"Непідприємницьке товариство ""Відкритий недержавний пенсійний фонд ""Резерв  Рівненщини""";04210 КИЇВ, КИЇВ 210, проспект Героїв Сталінграду , буд.12 – Л ;Лиховид Дмитро Олегович;19.10.2006
1247;Адміністратор недержавних пенсійних фондів;33936496;"Товариство з обмеженою відповідальністю ""КУА ОЗОН""";03150 КИЇВ, КИЇВ 150, вул. Горького, буд. 64/16 / вул. Федорова Івана, буд. 64/16, буд.-;Ісупов   Дмитро Юрійович;09.10.2006
1248;Недержавний пенсійний фонд;34414060;"Відкритий недержавний пенсійний фонд ""НІКА""";01023 КИЇВ, КИЇВ 23, Шота Руставелі, буд.39-41, оф.(кв.)сьомий поверх;Чуніхін Юрій  Митрофанович;28.09.2006
1249;Страхова компанія;34478248;"Приватне акціонерне товариство ""Страхова компанія ""УНІКА Життя""";01011 КИЇВ, КИЇВ 11, Лєскова, буд.3А;Симончук   Володимир Миколайович;21.09.2006
1250;Страхова компанія;34578037;"Приватне акціонерне товариство ""Страхова компанія ""Гештальт""";03062 КИЇВ, КИЇВ 62, проспект Перемоги, буд.67;Хандашко Юрій Васильович;19.09.2006
1251;Ломбард;34503333;"Повне товариство""Ломбард""Онікс""(Максименко, Калашніков,Кутовий)";18002 ЧЕРКАСЬКА ОБЛАСТЬ, ЧЕРКАСИ, МІСТО ЧЕРКАСИ, Небесної Сотні, буд.105;Максименко  Ніна Георгіївна;19.09.2006
1252;Фінансова компанія;33939497;"товариство з обмеженою відповідальністю ""Перша кредитно-фінансова компанія""";03150 КИЇВ, КИЇВ 150, Предславинська, буд.34-Б;Дзьобак Володимир Васильович, генеральний директор   ;19.09.2006
1253;Фінансова компанія;34509335;"Товариство з обмеженою відповідальністю ""Фінансова компанія "" ДБК-Капітал""";08132 КИЇВСЬКА ОБЛАСТЬ, КИЄВО-СВЯТОШИНСЬКИЙ РАЙОН ВИШНЕВЕ, СВЯТОЮРІЇВСЬКА, буд.30, оф.(кв.)50;Бондаренко Лариса Іллівна;14.09.2006
1254;Кредитна спілка;33712272;"Кредитна Спілка ""Добродія""";86157 ДОНЕЦЬКА ОБЛАСТЬ, МАКІЇВКА, МІСТО МАКІЇВКА, Леніна, буд.57;Кравченко Олена Сергіївна, Голова Правління   ;14.09.2006
1255;Фінансова компанія;34462360;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ІНВЕСТИЦІЙНО-ФІНАНСОВА КОМПАНІЯ»;79015 ЛЬВІВСЬКА ОБЛАСТЬ, ЛЬВІВ, МІСТО ЛЬВІВ, Героїі УПА, буд.72;Цибульський Тарас Романович;12.09.2006
1256;Фінансова компанія;34263418;"Товариство з обмеженою відповідальністю ""Фінансова компанія ""Енергія-Інвест""";79026 ЛЬВІВСЬКА ОБЛАСТЬ, ЛЬВІВ, МІСТО ЛЬВІВ, Академіка Лазаренка, буд.1;Пастернак Юрій Степанович;05.09.2006
1257;Фінансова компанія;32719099;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВінІнвестБуд""";21037 ВІННИЦЬКА ОБЛАСТЬ, ВІННИЦЯ, МІСТО ВІННИЦЯ, Зодчих, буд.24;Антонюк Віталій Васильович;05.09.2006
1258;Ломбард;33673459;"Повне товариство ""ЛОМБАРД ""ЛЮБИЙ ДРУЖЕ"", ДАНИЛЕНКО І КОМПАНІЯ""";61111 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, Салтівське шосе, буд.155/93;Лобов Андрій Павлович;31.08.2006
1259;Ломбард;33977438;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ЛИСЕНКО, СЄДИХ І ЛЕБЕДЄВ""";42700 СУМСЬКА ОБЛАСТЬ, ОХТИРСЬКИЙ РАЙОН ОХТИРКА, ЯРОСЛАВСЬКОГО, буд.3, оф.(кв.)приміщення 12;Лисенко Сергій Степанович;29.08.2006
1260;Недержавний пенсійний фонд;34239060;Непідприємницьке товариство „Відкритий недержавний пенсійний фонд Українського союзу  промисловців і підприємців”;01010 КИЇВ, КИЇВ 10, Московська, буд.8;Анатолій Кирилович Кінах   ;23.08.2006
1261;Кредитна спілка;34079492;"КРЕДИТНА СПІЛКА ""АЛЬЯНС-С""";63734 ХАРКІВСЬКА ОБЛАСТЬ, КУП'ЯНСЬКИЙ РАЙОН КІВШАРІВКА, БУДІВЛЯ КОЛИШНЬОЇ ПОЧАТКОВОЇ ШКОЛИ № 13, буд.-;Анненкова Людмила Олександрівна;15.08.2006
1262;Недержавний пенсійний фонд;34456619;"Відкритий недержавний пенсійний фонд ""Пенсійна опіка""";83017 ДОНЕЦЬКА ОБЛАСТЬ, ДОНЕЦЬК, МІСТО ДОНЕЦЬК, бул.Шевченка, буд.25;Чуніхін    Юрій Митрофанович;09.08.2006
1263;Страхова компанія;33719849;ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «СТРАХОВА КОМПАНІЯ «ЄВРОПЕЙСЬКИЙ ВИБІР»;03680 КИЇВ, КИЇВ 680, Антоновича, буд.51, оф.(кв.)1007 А;Лесик Павло Вікторович;01.08.2006
1264;Страхова компанія;34348559;"Товариство з додатковою відповідальністю ""Страхове товариство "" МегаПоліс""";01042 КИЇВ, КИЇВ 42, Академіка Філатова, буд.22/8, оф.306;Хромов Михайло Миколайович;25.07.2006
1265;Недержавний пенсійний фонд;34333343;"Відкритий недержавний пенсійний фонд ""УКРАЇНСЬКА ПЕНСІЙНА СПІЛКА""";61024 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, Гуданова, буд.9/11;Хохлов  Сергій  Миколайович ;24.07.2006
1266;Недержавний пенсійний фонд;34384775;"ВІДКРИТИЙ НЕДЕРЖАВНИЙ ПЕНСІЙНИЙ ФОНД ""СОЦІАЛЬНА ПІДТРИМКА""";83003 ДОНЕЦЬКА ОБЛАСТЬ, ДОНЕЦЬК, МІСТО ДОНЕЦЬК, Антипова, буд.7а;Полякова Тетяна Миколаївна;20.07.2006
1267;Недержавний пенсійний фонд;34053275;"Відкритий недержавний пенсійний фонд ""Українська ощадна скарбниця""";83000 ДОНЕЦЬКА ОБЛАСТЬ, ДОНЕЦЬК, МІСТО ДОНЕЦЬК, Артема, буд.64;Кременовський Володимир Іванович - Голова Ради   ;20.07.2006
1268;Кредитна спілка;34273489;"Кредитна спілка ""Можливість""";87515 ДОНЕЦЬКА ОБЛАСТЬ, МАРІУПОЛЬ, МІСТО МАРІУПОЛЬ, Проспект  Миру, буд.9;Корягіна  Інна Іванівна;19.07.2006
1269;Страхова компанія;34350924;"Приватне акціонерне товариство ""Страхова компанія ""НАДІЙНА""";04114 КИЇВ, КИЇВ 114, Вишгородська, буд.45-а/6, оф.(кв.)8;Ісаєв Микита Костянтинович;11.07.2006
1270;Фінансова компанія;34333076;"Товариство з обмеженою відповідальністю ""ПЕРШИЙ БУДІВЕЛЬНИЙ УПРАВИТЕЛЬ""";61145 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, КОСМІЧНА, буд.12, оф.205;Марінцев Дмитро Володимирович;11.07.2006
1271;Кредитна спілка;34259312;"КРЕДИТНА СПІЛКА ""МОЯ РОДИНА""";14038 ЧЕРНІГІВСЬКА ОБЛАСТЬ, ЧЕРНІГІВ, МІСТО ЧЕРНІГІВ, Перемоги, буд.139;Маковій Олена Аркадіївна;06.07.2006
1272;Недержавний пенсійний фонд;33942101;"Непідприємницьке товариство ""Відкритий недержавний пенсійний фонд ""Резерв  Тернопілля""";04210 КИЇВ, КИЇВ 210, проспект Героїв Сталінграду , буд.12 – Л;Лиховид Дмитро Олегович;03.07.2006
1273;Адміністратор недержавних пенсійних фондів;34094201;"Товариство з обмеженою відповідальністю ""Компанія з управління активами та адміністрування пенсійних фондів ""Опіка""";36020 ПОЛТАВСЬКА ОБЛАСТЬ, ПОЛТАВА, МІСТО ПОЛТАВА, 1100-річчя Полтави, буд.14А/22;Мельченко Роман Олексійович;29.06.2006
1274;Фінансова компанія;34321338;"Товариство з обмеженою відповідальністю ""СК ІНВЕСТ""";65013 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, Миколаївська дорога, буд.144;Стратієвська Марина Михайлівна;27.06.2006
1275;Кредитна спілка;34088863;"Кредитна спілка ""Спільна справа""";29000 ХМЕЛЬНИЦЬКА ОБЛАСТЬ, ХМЕЛЬНИЦЬКИЙ, МІСТО ХМЕЛЬНИЦЬКИЙ, Подільська, буд.85;Сідельникова Наталія Вікторівна;27.06.2006
1276;Фінансова компанія;34192143;"Товариство з обмеженою відповідальністю ""Фінансова компанія ""Уко-Капітал""";01034 КИЇВ, КИЇВ 34, Пушкінська, буд.8а;П'ятак Дмитро Петрович;06.06.2006
1277;Недержавний пенсійний фонд;34167520;"Непідприємницьке товариство ""Відкритий пенсійний фонд ""Династія""";01030 КИЇВ, КИЇВ 30, Б. Хмельницького, буд.19-21;Овчаренко Григорій Олександрович;01.06.2006
1278;Ломбард;34186014;"Повне товариство ""Ломбард ""Альянс автоіпотечних кредиторів Стецков та компанія""";04074 КИЇВ, КИЇВ 74, Вишгородська, буд.28/1;Стецков  Сергій Іванович;25.05.2006
1279;Фінансова компанія;34015774;"Товариство з обмеженою відповідальністю ""ФІНАНСОВА КОМПАНІЯ„С-ІНВЕСТБУД""";61166 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, Бакуліна, буд.4-А, оф.(кв.)72;Марінцев Дмитро Володимирович;16.05.2006
1280;Фінансова компанія;34186433;"Товариство з обмеженою відповідальністю ""ФІНАНСОВА КОМПАНІЯ "" ЖИТЛОІНВЕСТ-ГАРАНТ""";04114 КИЇВ, КИЇВ 114, Полупанова, буд.21;Танцюра  Світлана Вікторівна;05.05.2006
1281;Фінансова компанія;34017001;"Товариство з обмеженою відповідальністю ""ХАРКІВСЬКИЙ РЕГІОНАЛЬНИЙ ФОНД ФІНАНСУВАННЯ БУДІВНИЦТВА""";61145 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, Космічна, буд.12, оф.(кв.)22;Марінцев Дмитро Володимирович;05.05.2006
1282;Фінансова компанія;34314336;"Товариство з обмеженою відповідальністю ""Фінансова компанія ""Жилбуд-Інвест""";"49008 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРОПЕТРОВСЬК, Богданова, буд.32 ""Д""";Білозерцев  Олексій Володимирович;28.04.2006
1283;Недержавний пенсійний фонд;34004029;НЕПІДПРИЄМНИЦЬКЕ ТОВАРИСТВО «ВІДКРИТИЙ НЕДЕРЖАВНИЙ ПЕНСІЙНИЙ ФОНД «ФОНД ПЕНСІЙНИХ ЗАОЩАДЖЕНЬ»;01032 КИЇВ, КИЇВ 32, Симона Петлюри, буд.30;Борисенко Ростислав Юрійович;26.04.2006
1284;Недержавний пенсійний фонд;34077584;"Непідприємницьке товариство ""Відкритий пенсійний фонд ""Соціальна перспектива""";76018 ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ, ІВАНО-ФРАНКІВСЬК, МІСТО ІВАНО-ФРАНКІВСЬК, площа Міцкевича, буд.6, оф.(кв.)5;Дубовий  Юрій Борисович;13.04.2006
1285;Страхова компанія;34240804;"Приватне акціонерне товариство ""СТРАХОВА КОМПАНІЯ ""ДОВІРА ТА ГАРАНТІЯ""";01032 КИЇВ, КИЇВ 32, Саксаганського, буд.105;Супрун Євген Валерійович;11.04.2006
1286;Недержавний пенсійний фонд;34001274;Корпоративний недержавний пенсійний фонд “Українська Пенсійна Фундація ”;01030 КИЇВ, КИЇВ 30, Богдана Хмельницького, буд.32, оф.(кв.)49;Голубій Ігор Євгенович;06.04.2006
1287;Фінансова компанія;33939607;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""РЕГІОН КАПІТАЛ""";14033 ЧЕРНІГІВСЬКА ОБЛАСТЬ, ЧЕРНІГІВ, МІСТО ЧЕРНІГІВ, Стрілецька, буд.88, оф.(кв.)4;Савчук Валентин Вікторович;06.04.2006
1288;Ломбард;32912165;"Повне товариство ""Ломбард ""ТОВ ""Чесний відсоток"" і компанія""";03039 КИЇВ, КИЇВ 39, проспект Червонозоряний, буд.119, корп.адміністративний /А/, оф.(кв.)2-й поверх,№8;Карпа Олена Іванівна;28.03.2006
